AERONET Version 3; 
Taipei_CWB
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Brent_Holben; PI Email=Brent.N.Holben@nasa.gov
"Daily Averages,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html"
"Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)"
"05:04:2002,12:00:00,95,-999.,0.369155,0.485106,-999.,-999.,0.726949,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.046439,-999.,-999.,1.181279,-999.,-999.,1.323459,1.398800,3.755967,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.415986,0.923513,1.280379,1.485703,0.772328,-999.,0,30,30,0,0,30,0,0,0,0,0,0,0,0,26,0,0,25,0,0,23,20,26,0,0,0,0,0,0,0,30,25,26,30,23,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"06:04:2002,12:00:00,96,-999.,0.174696,0.226335,-999.,-999.,0.355657,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.569702,-999.,-999.,0.663461,-999.,-999.,0.778230,0.869779,2.847966,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.594064,1.124686,1.482261,1.676122,1.048450,-999.,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"07:04:2002,12:00:00,97,-999.,0.488374,0.613245,-999.,-999.,0.870551,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.219574,-999.,-999.,-999.,-999.,-999.,-999.,-999.,3.073352,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.246709,-999.,1.135465,1.246709,-999.,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"29:04:2002,12:00:00,119,-999.,0.219053,0.280725,-999.,-999.,0.406386,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.591372,-999.,-999.,0.672942,-999.,-999.,0.751422,0.799539,3.559568,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.402488,0.998762,1.319862,1.461403,0.877679,-999.,0,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,19,17,20,0,0,0,0,0,0,0,20,20,20,20,19,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"30:04:2002,12:00:00,120,-999.,0.258449,0.335089,-999.,-999.,0.499153,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.754506,-999.,-999.,0.872697,-999.,-999.,1.008932,1.145077,3.480537,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.414718,1.026046,1.325951,1.474077,0.906700,-999.,0,35,35,0,0,35,0,0,0,0,0,0,0,0,35,0,0,35,0,0,31,28,35,0,0,0,0,0,0,0,35,35,35,35,31,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"01:05:2002,12:00:00,121,-999.,0.600203,0.767575,-999.,-999.,1.107596,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.584275,-999.,-999.,1.790287,-999.,-999.,2.011458,2.168918,3.719206,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.261834,0.872345,1.153595,1.326260,0.753460,-999.,0,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"02:05:2002,12:00:00,122,-999.,0.234005,0.305386,-999.,-999.,0.457810,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.686092,-999.,-999.,0.784373,-999.,-999.,0.884815,0.948854,3.632265,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.436906,0.956674,1.324626,1.511114,0.782444,-999.,0,32,32,0,0,32,0,0,0,0,0,0,0,0,32,0,0,32,0,0,31,30,32,0,0,0,0,0,0,0,32,32,32,32,31,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"03:05:2002,12:00:00,123,-999.,0.395404,0.505832,-999.,-999.,0.732180,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.046120,-999.,-999.,1.175858,-999.,-999.,1.303307,1.392207,3.866860,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.240845,0.778950,1.118778,1.314197,0.632016,-999.,0,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"04:05:2002,12:00:00,124,-999.,0.048686,0.052509,-999.,-999.,0.068404,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.109334,-999.,-999.,0.129185,-999.,-999.,0.157837,0.188953,3.424336,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.358482,1.325680,1.506865,1.341669,1.453180,-999.,0,29,29,0,0,29,0,0,0,0,0,0,0,0,29,0,0,29,0,0,29,29,29,0,0,0,0,0,0,0,29,29,29,29,29,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"05:05:2002,12:00:00,125,-999.,0.046163,0.049935,-999.,-999.,0.061953,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.093609,-999.,-999.,0.107211,-999.,-999.,0.128676,0.157318,3.974247,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.153927,1.139197,1.297081,1.146470,1.456046,-999.,0,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,15,15,0,0,0,0,0,0,0,15,15,15,15,15,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"06:05:2002,12:00:00,126,-999.,0.406272,0.518849,-999.,-999.,0.730600,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.995977,-999.,-999.,1.096324,-999.,-999.,1.194732,1.258333,3.876454,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.213399,0.848347,1.143396,1.269653,0.769013,-999.,0,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"07:05:2002,12:00:00,127,-999.,0.370917,0.472895,-999.,-999.,0.689527,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.000049,-999.,-999.,1.136076,-999.,-999.,1.278595,1.386267,3.875269,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.302363,0.896060,1.195321,1.368073,0.789253,-999.,0,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"08:05:2002,12:00:00,128,-999.,0.127334,0.142111,-999.,-999.,0.183626,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.261741,-999.,-999.,0.295017,-999.,-999.,0.340513,0.385991,3.841512,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.096194,0.989810,1.155385,1.111279,1.141558,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"10:05:2002,12:00:00,130,-999.,0.523690,0.672717,-999.,-999.,0.970727,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.352649,-999.,-999.,1.491464,-999.,-999.,1.623644,1.712061,4.176417,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.173757,0.654382,1.022224,1.263769,0.531909,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"13:05:2002,12:00:00,133,-999.,0.106738,0.124754,-999.,-999.,0.179630,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.279493,-999.,-999.,0.324575,-999.,-999.,0.383132,0.441123,4.867634,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.416981,1.140191,1.399609,1.459468,1.192658,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"22:05:2002,12:00:00,142,-999.,0.344989,0.350298,-999.,-999.,0.371359,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.425576,-999.,-999.,0.454259,-999.,-999.,0.495799,0.527361,4.264329,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.391511,0.554464,0.473023,0.360122,0.561379,-999.,0,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,14,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"26:05:2002,12:00:00,146,-999.,0.247658,0.312874,-999.,-999.,0.472842,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.739788,-999.,-999.,0.870355,-999.,-999.,1.028751,1.142545,2.721335,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.513152,1.172145,1.444205,1.563823,1.041099,-999.,0,21,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,20,19,21,0,0,0,0,0,0,0,21,21,21,21,20,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"27:05:2002,12:00:00,147,-999.,0.249650,0.324421,-999.,-999.,0.503864,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.804492,-999.,-999.,0.952897,-999.,-999.,1.127168,1.260984,2.628148,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.591918,1.222159,1.509476,1.648867,1.100581,-999.,0,31,31,0,0,31,0,0,0,0,0,0,0,0,31,0,0,31,0,0,31,31,31,0,0,0,0,0,0,0,31,31,31,31,31,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"28:05:2002,12:00:00,148,-999.,0.340595,0.438282,-999.,-999.,0.668720,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.033968,-999.,-999.,1.203543,-999.,-999.,1.393700,1.528485,3.771180,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.510295,1.087356,1.408325,1.577325,0.938161,-999.,0,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"29:05:2002,12:00:00,149,-999.,0.311344,0.405155,-999.,-999.,0.615856,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.936227,-999.,-999.,1.074609,-999.,-999.,1.207937,1.236799,4.264628,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.471014,0.995801,1.352438,1.548479,0.866024,-999.,0,26,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,26,0,0,25,21,26,0,0,0,0,0,0,0,26,26,26,26,25,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"30:05:2002,12:00:00,150,-999.,0.439519,0.563603,-999.,-999.,0.803604,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.089048,-999.,-999.,1.198026,-999.,-999.,1.284547,1.333384,4.352810,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.210799,0.721408,1.071549,1.278379,0.619255,-999.,0,10,10,0,0,10,0,0,0,0,0,0,0,0,9,0,0,8,0,0,6,5,9,0,0,0,0,0,0,0,10,8,9,10,6,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"01:06:2002,12:00:00,152,-999.,0.174410,0.210523,-999.,-999.,0.295318,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.440746,-999.,-999.,0.509184,-999.,-999.,0.591596,0.673985,3.172811,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.353892,1.072804,1.317371,1.394167,0.965915,-999.,0,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,7,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"02:06:2002,12:00:00,153,-999.,0.138171,0.163060,-999.,-999.,0.227388,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.338139,-999.,-999.,0.386933,-999.,-999.,0.448213,0.492653,3.901972,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.299290,1.021955,1.270294,1.342112,0.979831,-999.,0,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,9,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"03:06:2002,12:00:00,154,-999.,0.082015,0.096829,-999.,-999.,0.133838,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.205376,-999.,-999.,0.239065,-999.,-999.,0.289608,0.337231,4.604600,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.347695,1.241652,1.372902,1.369242,1.328392,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"01:10:2002,12:00:00,274,-999.,-999.,0.127549,-999.,-999.,0.207819,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.359238,-999.,-999.,0.411112,-999.,-999.,-999.,0.991894,2.443903,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.891985,2.019319,1.873033,1.868487,2.661717,-999.,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,1,2,2,1,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"18:10:2002,12:00:00,291,-999.,0.214849,0.279523,-999.,-999.,0.421343,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.658362,-999.,-999.,0.768085,-999.,-999.,0.885724,0.952679,4.455471,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.496997,1.066235,1.422839,1.556025,0.840464,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"20:10:2002,12:00:00,293,-999.,0.337047,0.429955,-999.,-999.,0.605612,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.825746,-999.,-999.,0.891986,-999.,-999.,0.946983,0.773043,3.877168,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.130087,0.525460,0.975699,1.230791,0.389238,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,1,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"28:10:2002,12:00:00,301,-999.,0.072784,0.101946,-999.,-999.,0.144416,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.237938,-999.,-999.,0.278387,-999.,-999.,0.327208,0.346845,3.589269,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.510417,1.146358,1.561863,1.545047,0.863814,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"30:10:2002,12:00:00,303,-999.,0.098477,0.134314,-999.,-999.,0.187126,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.303356,-999.,-999.,0.351286,-999.,-999.,0.411904,0.430485,4.614304,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.448544,1.101262,1.501121,1.485487,0.802325,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"03:11:2002,12:00:00,307,-999.,0.291353,0.375487,-999.,-999.,0.547974,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.807753,-999.,-999.,0.932904,-999.,-999.,-999.,-999.,1.976601,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.366590,0.951190,1.277717,1.390397,-999.,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,1,3,3,0,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"05:11:2002,12:00:00,309,-999.,0.082039,0.093313,-999.,-999.,0.119249,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.181552,-999.,-999.,0.218258,-999.,-999.,0.263638,0.291635,1.965527,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.267600,1.348283,1.420429,1.217389,1.171213,-999.,0,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,21,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"06:11:2002,12:00:00,310,-999.,0.069732,0.078026,-999.,-999.,0.095781,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.142296,-999.,-999.,0.166065,-999.,-999.,0.199137,0.224826,2.908231,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.117464,1.064089,1.273112,1.082842,0.807660,-999.,0,18,18,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,18,15,17,0,0,0,0,0,0,0,17,17,17,17,18,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"09:11:2002,12:00:00,313,-999.,0.099400,0.121780,-999.,-999.,0.173688,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.275898,-999.,-999.,0.331602,-999.,-999.,0.399572,0.444028,1.165665,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.485334,1.332570,1.522032,1.489024,1.224279,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,1,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
